iteration,episode_reward_mean,episode_length_mean,total_co2,total_waiting_time,vehicle_count,num_env_steps_sampled
1,-10199.254364849203,100.0,133891.7337372023,17.7,54.9,
2,-10482.203670466037,100.0,149237.7671752519,53.0,63.0,
3,-10214.365072618508,100.0,146090.14493412682,28.0,58.8,
4,-10375.832859767199,100.0,140017.47409517592,31.9,58.7,
5,-10286.776890607309,100.0,142453.64472668746,25.0,59.7,
